Distance (m),Observed elevation (m)
-4.8200000e+003,7.4000000e+002
-4.7882718e+003,7.5200000e+002
-4.7565436e+003,7.7100000e+002
-4.7248155e+003,7.9700000e+002
-4.6930873e+003,8.1500000e+002
-4.6613591e+003,8.3200000e+002
-4.6296309e+003,8.5400000e+002
-4.5979028e+003,8.8000000e+002
-4.5661746e+003,9.0200000e+002
-4.5344464e+003,9.2300000e+002
-4.5027182e+003,9.4400000e+002
-4.4709901e+003,9.6800000e+002
-4.4392619e+003,9.8800000e+002
-4.4075337e+003,1.0100000e+003
-4.3758055e+003,1.0370000e+003
-4.3440774e+003,1.0580000e+003
-4.3123492e+003,1.0770000e+003
-4.2806209e+003,1.0930000e+003
-4.2488928e+003,1.1090000e+003
-4.2171646e+003,1.1210000e+003
-4.1854364e+003,1.1330000e+003
-4.1537082e+003,1.1380000e+003
-4.1219801e+003,1.1420000e+003
-4.0902519e+003,1.1470000e+003
-4.0585237e+003,1.1480000e+003
-4.0267955e+003,1.1440000e+003
-3.9950674e+003,1.1450000e+003
-3.9633392e+003,1.1410000e+003
-3.9316111e+003,1.1440000e+003
-3.8998828e+003,1.1350000e+003
-3.8681546e+003,1.1370000e+003
-3.8364265e+003,1.1430000e+003
-3.8046982e+003,1.1520000e+003
-3.7729701e+003,1.1580000e+003
-3.7412419e+003,1.1530000e+003
-3.7095138e+003,1.1620000e+003
-3.6777856e+003,1.1670000e+003
-3.6460574e+003,1.1690000e+003
-3.6143292e+003,1.1760000e+003
-3.5826011e+003,1.1810000e+003
-3.5508728e+003,1.1840000e+003
-3.5191447e+003,1.1900000e+003
-3.4874165e+003,1.1940000e+003
-3.4556884e+003,1.2010000e+003
-3.4239602e+003,1.2150000e+003
-3.3922320e+003,1.2230000e+003
-3.3605038e+003,1.2340000e+003
-3.3287757e+003,1.2430000e+003
-3.2970474e+003,1.2460000e+003
-3.2653192e+003,1.2540000e+003
-3.2335911e+003,1.2590000e+003
-3.2018629e+003,1.2610000e+003
-3.1701348e+003,1.2640000e+003
-3.1384065e+003,1.2670000e+003
-3.1066784e+003,1.2690000e+003
-3.0749502e+003,1.2710000e+003
-3.0432220e+003,1.2700000e+003
-3.0114938e+003,1.2750000e+003
-2.9797657e+003,1.2760000e+003
-2.9480374e+003,1.2870000e+003
-2.9163094e+003,1.2910000e+003
-2.8845811e+003,1.2950000e+003
-2.8528531e+003,1.3090000e+003
-2.8211248e+003,1.3090000e+003
-2.7893965e+003,1.3100000e+003
-2.7576685e+003,1.3200000e+003
-2.7259402e+003,1.3230000e+003
-2.6942120e+003,1.3270000e+003
-2.6624839e+003,1.3260000e+003
-2.6307557e+003,1.3290000e+003
-2.5990274e+003,1.3320000e+003
-2.5672994e+003,1.3290000e+003
-2.5355711e+003,1.3310000e+003
-2.5038431e+003,1.3330000e+003
-2.4721148e+003,1.3210000e+003
-2.4403865e+003,1.3230000e+003
-2.4086585e+003,1.3190000e+003
-2.3769302e+003,1.3210000e+003
-2.3452022e+003,1.3190000e+003
-2.3134740e+003,1.3110000e+003
-2.2817457e+003,1.3200000e+003
-2.2500177e+003,1.3300000e+003
-2.2182894e+003,1.3300000e+003
-2.1865611e+003,1.3340000e+003
-2.1548331e+003,1.3370000e+003
-2.1231048e+003,1.3290000e+003
-2.0913766e+003,1.3310000e+003
-2.0596485e+003,1.3340000e+003
-2.0279203e+003,1.3430000e+003
-1.9961922e+003,1.3510000e+003
-1.9644640e+003,1.3660000e+003
-1.9327357e+003,1.3710000e+003
-1.9010077e+003,1.3800000e+003
-1.8692794e+003,1.4000000e+003
-1.8375514e+003,1.4090000e+003
-1.8058231e+003,1.4170000e+003
-1.7740948e+003,1.4260000e+003
-1.7423668e+003,1.4290000e+003
-1.7106385e+003,1.4250000e+003
-1.6789103e+003,1.4130000e+003
-1.6471822e+003,1.4100000e+003
-1.6154540e+003,1.4030000e+003
-1.5837257e+003,1.3860000e+003
-1.5519977e+003,1.3830000e+003
-1.5202694e+003,1.3850000e+003
-1.4885414e+003,1.3740000e+003
-1.4568131e+003,1.3720000e+003
-1.4250848e+003,1.3510000e+003
-1.3933568e+003,1.3570000e+003
-1.3616285e+003,1.3660000e+003
-1.3299005e+003,1.3840000e+003
-1.2981722e+003,1.3920000e+003
-1.2664440e+003,1.3990000e+003
-1.2347160e+003,1.4100000e+003
-1.2029877e+003,1.4130000e+003
-1.1712594e+003,1.4160000e+003
-1.1395314e+003,1.4220000e+003
-1.1078031e+003,1.4250000e+003
-1.0760749e+003,1.4270000e+003
-1.0443468e+003,1.4290000e+003
-1.0126186e+003,1.4300000e+003
-9.8089052e+002,1.4300000e+003
-9.4916225e+002,1.4300000e+003
-9.1743398e+002,1.4310000e+003
-8.8570572e+002,1.4330000e+003
-8.5397793e+002,1.4350000e+003
-8.2224966e+002,1.4370000e+003
-7.9052139e+002,1.4390000e+003
-7.5879312e+002,1.4400000e+003
-7.2706486e+002,1.4400000e+003
-6.9533706e+002,1.4440000e+003
-6.6360880e+002,1.4460000e+003
-6.3188053e+002,1.4480000e+003
-6.0015226e+002,1.4510000e+003
-5.6842399e+002,1.4530000e+003
-5.3669573e+002,1.4530000e+003
-5.0496794e+002,1.4520000e+003
-4.7323967e+002,1.4520000e+003
-4.4151140e+002,1.4490000e+003
-4.0978313e+002,1.4470000e+003
-3.7805486e+002,1.4450000e+003
-3.4632707e+002,1.4420000e+003
-3.1459881e+002,1.4410000e+003
-2.8287054e+002,1.4400000e+003
-2.5114227e+002,1.4390000e+003
-2.1941400e+002,1.4400000e+003
-1.8768574e+002,1.4410000e+003
-1.5595794e+002,1.4410000e+003
-1.2422968e+002,1.4410000e+003
-9.2501410e+001,1.4410000e+003
-6.0773140e+001,1.4390000e+003
-2.9044870e+001,1.4370000e+003
2.6829200e+000,1.4360000e+003
3.4411180e+001,1.4300000e+003
6.6139450e+001,1.4280000e+003
9.7867720e+001,1.4210000e+003
1.2959599e+002,1.4180000e+003
1.6132378e+002,1.4150000e+003
1.9305205e+002,1.4080000e+003
2.2478031e+002,1.4040000e+003
2.5650858e+002,1.3980000e+003
2.8823685e+002,1.3840000e+003
3.1996464e+002,1.3790000e+003
3.5169291e+002,1.3830000e+003
3.8342118e+002,1.3860000e+003
4.1514944e+002,1.3910000e+003
4.4687771e+002,1.3940000e+003
4.7860598e+002,1.3970000e+003
5.1033377e+002,1.4010000e+003
5.4206204e+002,1.4040000e+003
5.7379030e+002,1.4070000e+003
6.0551857e+002,1.4100000e+003
6.3724684e+002,1.4110000e+003
6.6897463e+002,1.4130000e+003
7.0070290e+002,1.4150000e+003
7.3243117e+002,1.4130000e+003
7.6415943e+002,1.4120000e+003
7.9588770e+002,1.4110000e+003
8.2761597e+002,1.4080000e+003
8.5934376e+002,1.4090000e+003
8.9107203e+002,1.4090000e+003
9.2280029e+002,1.4070000e+003
9.5452856e+002,1.4070000e+003
9.8625683e+002,1.4060000e+003
1.0179846e+003,1.4030000e+003
1.0497129e+003,1.4030000e+003
1.0814412e+003,1.4060000e+003
1.1131694e+003,1.4080000e+003
1.1448977e+003,1.4090000e+003
1.1766255e+003,1.4090000e+003
1.2083537e+003,1.4100000e+003
1.2400820e+003,1.4100000e+003
1.2718103e+003,1.4070000e+003
1.3035385e+003,1.4070000e+003
1.3352663e+003,1.4060000e+003
1.3669946e+003,1.4030000e+003
1.3987229e+003,1.4030000e+003
1.4304511e+003,1.4040000e+003
1.4621794e+003,1.4060000e+003
1.4939077e+003,1.4080000e+003
1.5256355e+003,1.4100000e+003
1.5573637e+003,1.4120000e+003
1.5890920e+003,1.4120000e+003
1.6208203e+003,1.4150000e+003
1.6525485e+003,1.4140000e+003
1.6842763e+003,1.4110000e+003
1.7160046e+003,1.4080000e+003
1.7477329e+003,1.4030000e+003
1.7794611e+003,1.3950000e+003
1.8111894e+003,1.3830000e+003
1.8429177e+003,1.3700000e+003
1.8746455e+003,1.3550000e+003
1.9063737e+003,1.3380000e+003
1.9381020e+003,1.3230000e+003
1.9698303e+003,1.3100000e+003
2.0015585e+003,1.2940000e+003
2.0332863e+003,1.2880000e+003
2.0650146e+003,1.2950000e+003
2.0967429e+003,1.3050000e+003
2.1284711e+003,1.3120000e+003
2.1601994e+003,1.3170000e+003
2.1919272e+003,1.3230000e+003
2.2236554e+003,1.3290000e+003
2.2553837e+003,1.3350000e+003
2.2871120e+003,1.3410000e+003
2.3188403e+003,1.3470000e+003
2.3505680e+003,1.3560000e+003
2.3822963e+003,1.3630000e+003
2.4140246e+003,1.3670000e+003
2.4457528e+003,1.3730000e+003
2.4774811e+003,1.3760000e+003
2.5092094e+003,1.3760000e+003
2.5409372e+003,1.3710000e+003
2.5726654e+003,1.3640000e+003
2.6043937e+003,1.3450000e+003
2.6361220e+003,1.3370000e+003
2.6678503e+003,1.3150000e+003
2.6995780e+003,1.2830000e+003
2.7313063e+003,1.2710000e+003
2.7630346e+003,1.2620000e+003
2.7947628e+003,1.2520000e+003
2.8264911e+003,1.2410000e+003
2.8582194e+003,1.2310000e+003
2.8899472e+003,1.2230000e+003
2.9216754e+003,1.2010000e+003
2.9534037e+003,1.1890000e+003
2.9851320e+003,1.1870000e+003
3.0168602e+003,1.1790000e+003
3.0485880e+003,1.1740000e+003
3.0803168e+003,1.1690000e+003
3.1120446e+003,1.1660000e+003
3.1437724e+003,1.1740000e+003
3.1755011e+003,1.1690000e+003
3.2072289e+003,1.1610000e+003
3.2389576e+003,1.1640000e+003
3.2706854e+003,1.1460000e+003
3.3024132e+003,1.1360000e+003
3.3341420e+003,1.1320000e+003
3.3658697e+003,1.1310000e+003
3.3975985e+003,1.1420000e+003
3.4293263e+003,1.1270000e+003
3.4610541e+003,1.1290000e+003
3.4927828e+003,1.1320000e+003
3.5245106e+003,1.1140000e+003
3.5562394e+003,1.1130000e+003
3.5879672e+003,1.0860000e+003
3.6196949e+003,1.0760000e+003
3.6514237e+003,1.0670000e+003
3.6831515e+003,1.0380000e+003
3.7148802e+003,1.0350000e+003
3.7466080e+003,1.0340000e+003
3.7783368e+003,1.0280000e+003
3.8100646e+003,1.0210000e+003
3.8417923e+003,1.0200000e+003
3.8735211e+003,1.0110000e+003
3.9052489e+003,1.0080000e+003
